	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200854072703	ダ	右	1300	晴	良	12:40	Eイ		2008-7-27	7	高知	2	(馬齢)		4	140	1	1-4	190	1	1-4	180	4	3-4	120	1	1-3	170	2	4=>1	350	2	1-3-4	280	1	4=>1=>3	830	3.0	143625	1,4,(3,6),5,2	1,4,(3,6),5-2	4,1,(3,6),5,2		
200854072704	ダ	右	1400	晴	良	13:15	C4		2008-7-27	7	高知	2	(馬齢)		5	240	2	4-5	930	4	4-5	410	3	5-6	340	2	4-6	1,020	8	5=>4	1350	6	4-5-6	1420	5	5=>4=>6	3040	9.0	4,5,(2,7),1,6,3	4,5,2,(1,7),6,3	4,5,1,(3,2,7),6	5,4-1,3,(2,6),7		
200854072705	ダ	右	1400	晴	良	13:50	C3		2008-7-27	7	高知	2	(馬齢)		5	2640	6	3-5	1380	6	3-5	580	6	5-8	1,020	13	3-8	760	11	5=>3	5010	17	3-5-8	2760	11	5=>3=>8	26650	76.0	5,8,(2,3),6,(1,4)-7	58326417	5,8,3,(2,6),7,4,1	5-3,8,7,(2,4,6),1		
200854081001	ダ	右	1300	晴	良	11:30	D5		2008-8-10	7	高知	5	(馬齢)		1	1020	3	1-4	1000	4	1-4	210	3	1-5	170	2	4-5	120	1	1=>4	1900	8	1-4-5	260	2	1=>4=>5	3100	13.0	1254637	1,(2,5),4-6,3-7	1,2,5,4-6,3-7	1,4,5,2-3,6=7		
200854081002	ダ	右	1300	晴	良	12:00	パートナー特別		2008-8-10	7	高知	5	(馬齢)		4	140	1	4-5	280	2	4-5	160	2	4-6	120	1	5-6	190	4	4=>5	410	2	4-5-6	200	1	4=>5=>6	540	2.0	5172436	5712463	5,(7,4),1,6,2,3	4536172		
200854081003	ダ	右	1300	晴	良	12:30	パートナー特別		2008-8-10	7	高知	5	(馬齢)		3	140	1	1-3	270	1	1-3	140	1	3-6	150	2	1-6	270	5	3=>1	380	2	1-3-6	350	2	3=>1=>6	720	2.0	(1,4),3,(2,5),6,7	1436527	1,(4,3),6,5,2,7	(1,3)-6,4,7,5,2		
200854081004	ダ	右	1300	晴	良	13:00	パートナー特別		2008-8-10	7	高知	5	(馬齢)		7	140	1	4-7	270	1	4-7	200	3	6-7	160	1	4-6	490	7	7=>4	400	1	4-6-7	510	2	7=>4=>6	1130	3.0	1,6,7,5,(2,4),3	1675432	1675432	7,(1,6),4,5,3,2		
200854081005	ダ	右	1300	晴	良	13:30	パートナー特別		2008-8-10	7	高知	5	(馬齢)		7	160	1	3-7	190	1	3-7	110	1	2-7	230	2	2-3	360	6	7=>3	200	1	2-3-7	330	2	7=>3=>2	520	1.0	7,2,(4,8),1,(3,6),5	7,(2,8),4,3,1,6-5	7,3,2,8,4-(1,6)-5	7,3,2,4,8-6=5		
200854081006	ダ	右	1300	晴	良	14:00	パートナー特別		2008-8-10	7	高知	5	(馬齢)		4	110	1	1-4	530	2	1-4	240	2	4-5	140	1	1-5	480	7	4=>1	590	2	1-4-5	510	2	4=>1=>5	1590	4.0	43612857	4,1,(3,6),(2,8),5,7	41825367	41258376		
200854081007	ダ	右	1400	晴	良	14:30	パートナー特別 		2008-8-10	7	高知	5	(馬齢)		6	2240	7	4-6	1260	5	4-6	680	8	6-8	1,060	15	4-8	180	1	6=>4	15240	33	4-6-8	1810	7	6=>4=>8	21760	70.0	5,8,3,2,1-(6,4),7	5,8,(1,2,3),4-6,7	(8,4),5,(1,2),3,6,7	4,8,6-(5,2,7),(1,3)		
200854081008	ダ	右	1300	晴	良	15:05	パートナー特別		2008-8-10	7	高知	5	(馬齢)		5	1100	5	2-5	1300	6	2-5	780	11	1-5	610	9	1-2	190	1	5=>2	3680	15	1-2-5	1180	4	5=>2=>1	14200	50.0	2,5,3,1,9,(4,7),6,8	2,5,3,9,1,7,4-(6,8)	2,5,9,3,1,7,4-6,8	2,5,9,1,7,3,4,(6,8)		
200854082401	ダ	右	1300	晴	不良	11:30	Eハ		2008-8-24	8	高知	4	(馬齢)		4	1700	4	3-4	750	3	3-4	220	5	4-6	200	3	3-6	120	1	4=>3	3550	11	3-4-6	330	2	4=>3=>6	9560	23.0	6,3,4,2,(1,5)	634125	6,3,4,1,(2,5)	3,(6,4)-1,5,2		
200854082402	ダ	右	1300	晴	不良	12:05	Eロ		2008-8-24	8	高知	4	(馬齢)		5	120	1	1-5	230	1	1-5	130	1	3-5	300	4	1-3	880	11	5=>1	240	1	1-3-5	750	4	5=>1=>3	1720	7.0	1,5,6-(2,4),3	1,5,6-2,(4,3)	156234	5,1-6,3,2,4		
200854082403	ダ	右	1300	晴	不良	12:40	Eイ		2008-8-24	8	高知	4	(馬齢)		3	300	2	3-6	160	1	3-6	110	1	1-3	280	6	1-6	240	5	3=>6	450	2	1-3-6	330	2	3=>6=>1	1270	6.0	6,3,1-5,4,2	6,3,1-4-5-2	6,3=1,4-5-2	(6,3)=1-(4,5)-2		
200854082404	ダ	右	1300	晴	重	13:15	A　Bイ　混合		2008-8-24	8	高知	4	(馬齢)		3	220	1	2-3	560	2	2-3	290	4	3-8	120	1	2-8	420	7	3=>2	1180	5	2-3-8	630	2	3=>2=>8	4600	15.0	3,8,1,(2,6),7,5,4	3,8,1,2,4,(6,7),5	3,8,1-2,4,7,5-6	3,8,2,1,7,4-5-6		
200854082405	ダ	右	1300	晴	重	13:50	D9　記者選抜		2008-8-24	8	高知	4	(馬齢)		9	160	1	9-10	780	2	9-10	400	3	3-9	600	8	3-10	1,580	17	9=>10	1290	3	3-9-10	3030	10	9=>10=>3	8360	26.0	5,10,11,7,(1,3),6,8,9,2,4	5,(3,10),(1,7),11,6,(9,8)-(2,4)	5,10,(3,7),11,9,(1,6),8=2,4	3,5,(10,9),7,11,1,6,8=2,4		
200854082406	ダ	右	1300	晴	重	14:25	C3		2008-8-24	8	高知	4	(馬齢)		8	160	1	6-8	330	1	6-8	170	1	3-8	280	4	3-6	330	5	8=>6	400	1	3-6-8	450	1	8=>6=>3	940	1.0	(1,8),4,(3,9,6),5,(2,7)	(1,8),6,4-3,(5,9),7,2	8,(1,6)-4,3,7,5,9,2	8,6-3,(1,4),5,7,2,9		
200854082407	ダ	右	1300	晴	重	15:00	C2		2008-8-24	8	高知	4	(馬齢)		9	510	3	1-9	450	2	1-9	160	1	8-9	250	3	1-8	210	2	9=>1	660	2	1-8-9	250	1	9=>1=>8	1620	3.0	1,(6,7),2,(3,9),4,8,10,5	1,7,6-9,2,(3,8),4-10,5	1,(6,7)-(9,8),(2,3),4-5,10	1-(6,9),7,8,3,4,2-5,10		
200854083101	ダ	右	1300	晴	不良	11:30	祝トッティチープ特別		2008-8-31	8	高知	6	(馬齢)		3	160	1	3-8	650	3	3-8	140	1	2-3	140	1	2-8	440	6	3=>8	1010	4	2-3-8	290	1	3=>8=>2	2710	8.0	3,1,(2,5),6=7,(4,8)	(1,3),(2,5),6=7,8,4	3,2,5,(6,1)=7-8-4	3,2,5,7,(6,1),8=4		
200854083102	ダ	右	1300	晴	不良	12:00	天使の雪特別		2008-8-31	8	高知	6	(馬齢)		6	130	1	3-6	870	3	3-6	280	3	2-6	390	7	2-3	750	11	6=>3	930	4	2-3-6	1750	5	6=>3=>2	3640	14.0	6,7,(3,8),4,2,1,5	6,(3,7),8,2,4,1-5	6,3,(8,4),2,7,1,5	6,3,(2,4),1,(8,5),7		
200854083103	ダ	右	1300	晴	不良	12:30	E3		2008-8-31	8	高知	6	(馬齢)		8	260	2	2-8	1170	4	2-8	420	4	5-8	480	6	2-5	650	9	8=>2	1750	6	2-5-8	1950	7	8=>2=>5	7020	24.0	(3,6),8,2-7,5,(1,4)	3,6,(2,8)=7,5,4,1	2,8,3,6=5,7,4,1	(2,8),3,(6,5),(7,4),1		
200854083104	ダ	右	1300	晴	不良	13:00	E2		2008-8-31	8	高知	6	(馬齢)		4	100	1	4-8	280	1	4-8	160	1	1-4	490	6	1-8	1,820	20	4=>8	300	1	1-4-8	1250	5	4=>8=>1	2200	8.0	6,8,1,(3,5,4),2,7	6,(1,8,5,4),3,2-7	6,4,8,5,1,3,2-7	4,8,6,1,3,5,2-7		
200854083105	ダ	右	1400	晴	不良	13:30	秋一番特別 		2008-8-31	8	高知	6	(馬齢)		3	340	3	3-7	630	2	3-7	110	2	1-3	130	3	1-7	100	1	3=>7	1770	6	1-3-7	160	1	3=>7=>1	2450	9.0	3,(2,7),(6,8),1,4-5	3,2,7,(1,6),8,4-5	1,3,7,2,6,8,4=5	1,3,(2,7),6,8,4,5		
200854083106	ダ	右	1300	晴	不良	14:00	北口省治郎還暦特別		2008-8-31	8	高知	6	(馬齢)		7	470	2	7-8	230	1	7-8	150	1	4-7	430	6	4-8	220	3	7=>8	680	2	4-7-8	630	2	7=>8=>4	2570	7.0	3,5,(1,7),8,4-6,2	3,(5,7),1,8,4=6,2	3,(5,7),1,8,4=(2,6)	7,8,(3,5),(1,4)-2,6		
200854083107	ダ	右	1300	晴	不良	14:30	祝・泰斗君1歳特別		2008-8-31	8	高知	6	(馬齢)		2	130	1	2-5	560	3	2-5	340	5	2-6	140	1	5-6	300	4	2=>5	620	2	2-5-6	370	1	2=>5=>6	1310	3.0	2,1,5,3,7,4-6	2,5,1,3,7,4-6	2,(1,3,5),4,7,6	2,5,3,(1,6),4,7		
200854083108	ダ	右	1300	晴	不良	15:05	史ちゃん誕生月特別		2008-8-31	8	高知	6	(馬齢)		7	330	2	4-7	410	2	4-7	160	1	6-7	470	6	4-6	1,790	18	7=>4	660	2	4-6-7	1480	5	7=>4=>6	3170	11.0	4,(3,7),8,5,6,1,2,9	4,(3,7)-8,5,(1,6)=2-9	(3,4,7)-(8,5),(1,6)=2-9	7,(3,4),5,8,1,6=2-9		
200854090701	ダ	右	1300	晴	重	11:30	Eロ		2008-9-7	9	高知	2	(馬齢)		6	1550	3	1-6	1800	4	1-6	120	2	4-6	170	3	1-4	100	1	6=>1	5360	9	1-4-6	150	1	6=>1=>4	6450	16.0	1,4,6,3-2-5	1,4,6-3-2-5	(1,4),6=3=2-5	(1,4),6-3-2=5		
200854090702	ダ	右	1300	晴	重	12:05	Eイ		2008-9-7	9	高知	2	(馬齢)		2	3720	7	2-3	14590	17	2-3	1,570	17	2-4	2,320	19	3-4	200	1	2=>3	26350	31	2-3-4	7460	20	2=>3=>4	209860	146.0	1643752	1643752	(1,6,3),4,7,2,5	(6,3),1,4,5,(7,2)		
200854090703	ダ	右	1300	晴	重	12:40	Bロ		2008-9-7	9	高知	2	(馬齢)		1	480	4	1-3	1320	4	1-3	410	4	1-6	850	10	3-6	780	8	1=>3	2950	13	1-3-6	1750	9	1=>3=>6	19060	65.0	2,4,1,6,3,(5,7)	2416357	(1,2),3,4,7,6,5	1,(6,2,3),7,5,4		
200854090704	ダ	右	1300	晴	稍重	13:15	D9		2008-9-7	9	高知	2	(馬齢)		5	410	2	5-6	340	1	5-6	180	1	4-5	840	11	4-6	510	9	5=>6	1010	4	4-5-6	1530	5	5=>6=>4	4520	14.0	3,(5,6),7,2,4,1	3,(5,6),7,2,4,1	(5,6),3,7,2,4-1	6,5,7,3,(2,4)-1		
200854090705	ダ	右	1300	晴	稍重	13:50	D8		2008-9-7	9	高知	2	(馬齢)		6	440	3	1-6	360	2	1-6	140	1	4-6	200	4	1-4	150	2	6=>1	1040	5	1-4-6	210	1	6=>1=>4	1470	6.0	6,(1,5),(2,7),4,3	6,1,(5,7),2,4-3	6,1,7,4,(2,5)=3	6,1,4,7,5-2=3		
200854090706	ダ	右	1300	晴	稍重	14:25	C2		2008-9-7	9	高知	2	(馬齢)		10	820	4	10-11	610	3	10-11	350	3	6-10	1,070	11	6-11	480	5	10=>11	1790	8	6-10-11	1910	4	10=>11=>6	16110	44.0	1011987456213	10,11,(9,8),(4,7),6,5-2-1,3	(10,11),(9,8),(4,6),7,5=2,1,3	11,10,(9,6),8,7,4,5=1,2-3		
200854092101	ダ	右	1300	曇	不良	11:30	Eイ		2008-9-21	9	高知	6	(馬齢)		5	760	3	3-5	490	2	3-5	200	4	1-5	170	3	1-3	130	2	5=>3	2050	6	1-3-5	220	2	5=>3=>1	1960	7.0	15234	15234	1,5,(2,3)-4	(1,5),3,2-4		
200854092102	ダ	右	1300	曇	不良	12:05	Eロ		2008-9-21	9	高知	6	(馬齢)		6	150	1	3-6	420	2	3-6	230	3	4-6	230	2	3-4	730	10	6=>3	600	2	3-4-6	940	4	6=>3=>4	1870	5.0	2,6,1-4,5,3	2,6,1-4,5,3	6,2-1,4,5,3	6-2,(3,4),5,1		
200854092103	ダ	右	1300	雨	不良	12:40	Eハ		2008-9-21	9	高知	6	(馬齢)		2	730	3	2-6	1680	5	2-6	220	4	2-3	110	1	3-6	140	2	2=>6	2240	7	2-3-6	230	1	2=>6=>3	4490	16.0	5,6,3-2,4,1	536241	(5,3),6,2-4-1	(6,2),3,4,5=1		
200854092104	ダ	右	1300	雨	不良	13:15	C4		2008-9-21	9	高知	6	(馬齢)		1	120	1	1-7	300	1	1-7	140	2	1-2	130	1	2-7	180	3	1=>7	340	1	1-2-7	340	1	1=>7=>2	990	1.0	7,2,1,5,3,6-4	7,2,1,(3,5),6=4	7,(2,1),(6,3,5),4	7,(2,1)-(6,3),4,5		
200854092105	ダ	右	1400	雨	不良	13:50	C3		2008-9-21	9	高知	6	(馬齢)		1	260	1	1-8	280	1	1-8	150	1	1-3	970	9	3-8	1,220	12	1=>8	540	1	1-3-8	1740	6	1=>8=>3	7790	27.0	3,8,(2,6),4,5,1-7	3,8,(2,6),(1,4,5)=7	3,8,2,(1,6),5,4=7	8,1,3,2,(4,5,6)=7		
200854092106	ダ	右	1400	雨	不良	14:25	C2		2008-9-21	9	高知	6	(馬齢)		8	120	1	2-8	240	1	2-8	110	1	1-8	150	2	1-2	320	5	8=>2	260	1	1-2-8	350	1	8=>2=>1	680	1.0	58132467	58132467	8,(5,2),1,3,4-6,7	8,2,1,5,3,4,(7,6)		
200854100301	ダ	右	1300	晴	稍重	11:30	D5		2008-10-3	10	高知	3	(馬齢)		4	120	1	1-4	220	1	1-4	110	1	4-6	150	4	1-6	120	2	4=>1	190	1	1-4-6	190	1	4=>1=>6	370	1.0	2,4,1,6-5,3	2,4,1,6-5,3	4,2,(1,6)=5=3	4,1,6,2,5=3		
200854100302	ダ	右	1300	晴	稍重	12:05	D4		2008-10-3	10	高知	3	(馬齢)		5	290	2	3-5	190	1	3-5	120	1	2-5	240	5	2-3	150	3	5=>3	750	3	2-3-5	530	2	5=>3=>2	2130	7.0	(1,3,6),2,5-4	1,6,3,5,2-4	(1,3,5),2,6-4	5,3,1,2=4,6		
200854100303	ダ	右	1300	晴	稍重	12:40	D3		2008-10-3	10	高知	3	(馬齢)		3	160	1	3-6	170	1	3-6	120	1	3-5	160	3	5-6	120	2	3=>6	300	2	3-5-6	280	2	3=>6=>5	520	1.0	564231	5-6,4,2,3,1	5-6,(2,4),3,1	5,(3,6),2,4,1		
200854100304	ダ	右	1300	晴	稍重	13:15	D6		2008-10-3	10	高知	3	(馬齢)		4	390	3	1-4	780	4	1-4	240	4	3-4	430	6	1-3	160	2	4=>1	4000	12	1-3-4	860	4	4=>1=>3	11570	30.0	3,1,6,4,(2,5,7)	3,1,(4,6)-2,7,5	3,1,(4,6)-2,7,5	1,3,4,6-(2,5,7)		
200854100305	ダ	右	1300	晴	稍重	13:50	E2		2008-10-3	10	高知	3	(馬齢)		8	190	1	4-8	3420	6	4-8	1,170	10	2-8	150	2	2-4	2,260	14	8=>4	2860	8	2-4-8	2500	5	8=>4=>2	12230	29.0	685279143	6,(2,8),5,(7,9),1,4,3	(6,8),2,5-7,9,1,4,3	8-2,5,6,4,3,7,(1,9)		
200854100306	ダ	右	1400	晴	稍重	14:25	秋晴れ特別 		2008-10-3	10	高知	3	(馬齢)		4	110	1	2-4	400	2	2-4	230	3	4-8	680	7	2-8	2,200	14	4=>2	340	2	2-4-8	1860	7	4=>2=>8	3850	11.0	7,(1,8),3,4,2,6,5	7,(1,8),4,3,2,6,5	7,8,1,4,2,3,6-5	6,7,8,4,(3,1,2)-5		
200854100307	ダ	右	1300	晴	稍重	15:00	D2		2008-10-3	10	高知	3	(馬齢)		6	390	2	3-6	160	1	3-6	110	1	2-6	300	6	2-3	240	3	6=>3	550	2	2-3-6	910	2	6=>3=>2	3360	13.0	5,(2,6),(3,7),1,(4,8)	5,(2,6),3,(1,4),7,8	(2,5,6),3,(4,7,8),1	(2,6),3-5,4,(7,8),1		
200854100308	ダ	右	1400	曇	稍重	15:35	C3		2008-10-3	10	高知	3	(馬齢)		8	460	2	3-8	3600	7	3-8	440	7	8-9	130	1	3-9	350	5	8=>3	4670	12	3-8-9	530	2	8=>3=>9	7820	24.0	5,6,8-(2,3),(4,9),7,10	5,6,8,(2,3),9,7,4,10	6,5,8,(2,3),(9,7),4,10	(6,8),(5,2),(9,3),7,4,10		
200854100309	ダ	右	1400	曇	稍重	16:15	新高なし特別 		2008-10-3	10	高知	3	(馬齢)		4	550	2	2-4	410	2	2-4	190	2	4-5	260	4	2-5	300	5	4=>2	1530	7	2-4-5	710	3	4=>2=>5	6790	23.0	48251736	4-8,2,5-1,3,7,6	4-2,(8,5)-3,(1,7),6	4,2,5,3,8,(1,7),6		
200854100310	ダ	右	1400	曇	稍重	16:50	ファイナルレース		2008-10-3	10	高知	3	(馬齢)		8	420	3	8-11	480	1	8-11	220	1	1-8	4,440	40	1-11	4,440	40	8=>11	1360	2	1-8-11	29710	68	8=>11=>1	73790	216.0	7-11,8,9,10,5,(2,6),1,4,3	7-11,8,(2,9,10),5,(1,6),4,3	(7,11),8,9,2,1,5,10,6,4,3	11,8,1,(2,9),5,(10,4),(7,3,6)		
200854101301	ダ	右	1300	晴	良	11:30	D7		2008-10-13	11	高知	3	(馬齢)		6	110	1	3-6	880	2	3-6	160	3	1-6	100	1	1-3	150	2	6=>3	900	4	1-3-6	270	2	6=>3=>1	1890	7.0	132645	1,(2,3),6,4,5	(1,6),3,2,4,5	6,1,3-2,4,5		
200854101302	ダ	右	1300	晴	良	12:00	D6		2008-10-13	11	高知	3	(馬齢)		3	120	1	3-5	1680	5	3-5	940	7	3-7	190	3	5-7	1,110	8	3=>5	2460	6	3-5-7	3260	6	3=>5=>7	10140	18.0	3,(2,6),7,1,5,4	3267154	3,2,(1,7,6),5,4	3,5,(1,2),7,6,4		
200854101303	ダ	右	1300	晴	良	12:30	D5		2008-10-13	11	高知	3	(馬齢)		7	150	1	4-7	260	1	4-7	110	1	1-7	560	9	1-4	450	6	7=>4	480	2	1-4-7	1170	5	7=>4=>1	2860	13.0	1,7,4,(2,5),3-6	1,7,4,2,5,3-6	7,1,4,2,(5,3)=6	7,4,1-2,3,5=6		
200854101304	ダ	右	1300	晴	良	13:00	D4		2008-10-13	11	高知	3	(馬齢)		2	110	1	2-7	460	3	2-7	220	3	2-8	180	2	7-8	830	9	2=>7	440	3	2-7-8	650	3	2=>7=>8	1710	8.0	5,(1,8),6,2,7,3,4	(5,8),(1,6),(2,7)-(3,4)	8,(5,6),2,1,7-(3,4)	2,8,6,(1,7)-5,4,3		
200854101305	ダ	右	1400	晴	良	13:30	D3		2008-10-13	11	高知	3	(馬齢)		1	150	1	1-8	220	1	1-8	130	1	1-6	410	8	6-8	320	5	1=>8	430	2	1-6-8	590	2	1=>8=>6	1580	5.0	6,8,(2,5),1,(3,4),7	6,8,5,2,1,(3,4),7	6,(1,8),2,5,7-4-3	6,(1,8),(2,7),5-4-3		
200854101306	ダ	右	1300	晴	良	14:00	C3		2008-10-13	11	高知	3	(馬齢)		4	240	2	3-4	460	1	3-4	380	3	4-7	1,360	12	3-7	2,470	19	4=>3	810	2	3-4-7	2390	8	4=>3=>7	7510	31.0	43728165	4,3,7,2,8,(1,6),5	4,3,7,(2,6,5),8,1	4,3,7,6,(2,8),5,1		
200854101307	ダ	右	1300	晴	良	14:30	C2		2008-10-13	11	高知	3	(馬齢)		8	490	2	2-8	150	1	2-8	130	1	6-8	1,610	15	2-6	850	10	8=>2	690	3	2-6-8	2780	8	8=>2=>6	9760	25.0	1,8,2,7,(4,3),5,6	1,8,2,(4,7),3,5,6	(4,1,8,2),7,5,(3,6)	(8,2),4,7,6,(1,5),3		
200854101308	ダ	右	1400	晴	良	15:05	祝修一久巳結婚特別		2008-10-13	11	高知	3	(馬齢)		4	210	2	3-4	700	3	3-4	180	3	2-4	110	1	2-3	140	2	4=>3	1180	5	2-3-4	170	1	4=>3=>2	1970	7.0	2,4,(1,7),3,5,6,8	2,4,(1,3,7),5,6,8	2,4,3,5,(1,7,6),8	(2,4),3,5,6,7,1,8		
200854101310	ダ	右	1400	晴	良	16:15	体育の日特別 		2008-10-13	11	高知	3	(馬齢)		4	140	1	4-6	450	2	4-6	170	2	4-7	530	6	6-7	1,000	9	4=>6	400	2	4-6-7	900	5	4=>6=>7	1870	6.0	4,6,(3,7),9,(1,8),5,2	463798152	4,6,(3,7),9,8,1,5,2	4,(1,6),7,9,3,5,2,8		
200854102501	ダ	右	1300	晴	重	11:15	E11		2008-10-25	11	高知	5	(馬齢)		8	120	1	5-8	330	2	5-8	140	2	2-8	530	4	2-5	560	5	8=>5	230	1	2-5-8	890	2	8=>5=>2	2000	5.0	2,(3,6,8),5,1,4,7	2,(3,8),(5,6),1,4,7	28536147	(2,8),5-4,3,(1,7),6		
200854102502	ダ	右	1300	晴	重	11:45	E10		2008-10-25	11	高知	5	(馬齢)		4	330	3	4-7	690	6	4-7	230	5	4-5	150	2	5-7	120	1	4=>7	1040	6	4-5-7	450	2	4=>7=>5	2650	9.0	5,8,3,(4,7),1,2,6	5,8,3,7,4-1,(2,6)	5,(4,8,7),3=1,2,6	4,5,7,8,3-1,2,6		
200854102503	ダ	右	1300	晴	重	12:15	ストロングボス特別		2008-10-25	11	高知	5	(馬齢)		8	210	2	4-8	130	1	4-8	110	1	2-8	370	6	2-4	370	6	8=>4	300	2	2-4-8	550	3	8=>4=>2	1440	5.0	1,8,4,2,6,5,7-3	1,8,4,2,(6,5)-7-3	(1,8,4),2,5,6-7=3	8,4,1,2-5,6,7=3		
200854102504	ダ	右	1300	晴	重	12:45	E8		2008-10-25	11	高知	5	(馬齢)		6	340	3	6-8	300	2	6-8	130	2	3-6	180	3	3-8	110	1	6=>8	670	4	3-6-8	140	1	6=>8=>3	1460	6.0	38657412	3,8,6,5-7,4,1,2	3,8,6-5=7,4,1,2	6,8,3=5-7,4,(1,2)		
200854102505	ダ	右	1400	晴	重	13:15	D4		2008-10-25	11	高知	5	(馬齢)		5	260	2	5-9	130	1	5-9	100	1	5-7	280	5	7-9	200	3	5=>9	380	2	5-7-9	240	1	5=>9=>7	1080	4.0	2,(3,7),(8,5),4,9,6,1	2,7,(3,5),8,4,9-6-1	2,(7,5,9),3,(8,4)-6-1	9,5,7,2,3,4,8-6-1		
200854102506	ダ	右	1300	晴	重	13:45	D3		2008-10-25	11	高知	5	(馬齢)		1	650	4	1-4	920	5	1-4	820	6	1-7	1,260	9	4-7	1,160	8	1=>4	1370	7	1-4-7	4350	10	1=>4=>7	10770	34.0	(1,4),5,7,3,8,(6,2)	14573826	(1,4),5,7,3,2,8,6	4,1,7,(3,5,2)-6,8		
200854102507	ダ	右	1300	晴	重	14:15	啓輔無事退職感謝特別		2008-10-25	11	高知	5	(馬齢)		5	890	3	5-7	2740	9	5-7	430	9	4-5	240	3	4-7	230	2	5=>7	3750	14	4-5-7	1100	5	5=>7=>4	13600	42.0	4,3,8,9,5,(2,7),6,1	4-3,8,(5,9),7,2,(1,6)	4,3,8,5,9,7-2,6,1	4,(3,5),8,7,9,(2,6),1		
200854102508	ダ	右	1400	晴	重	14:50	兵庫6人の侍特別		2008-10-25	11	高知	5	(馬齢)		8	160	1	7-8	170	1	7-8	160	1	1-8	1,290	13	1-7	1,810	16	8=>7	190	1	1-7-8	2440	6	8=>7=>1	3960	11.0	1,6,(2,7),8,(5,9),3,4	1,(2,6),7,8,5,3,4,9	1,7,6,2,8,(5,4),3,9	718264539		
200854102509	ダ	右	1400	晴	重	15:25	おいしいごはん特別 		2008-10-25	11	高知	5	(馬齢)		2	180	1	2-3	130	1	2-3	150	2	2-6	690	7	3-6	480	5	2=>3	200	1	2-3-6	380	2	2=>3=>6	720	2.0	3,2-8,6,7,1,4,5	32867145	32861745	3,2,(6,8),1,7,4,5		
200854102510	ダ	右	1400	晴	重	16:00	うずしお特別 		2008-10-25	11	高知	5	(馬齢)		2	140	1	2-4	910	4	2-4	280	4	2-9	150	1	4-9	340	5	2=>4	1130	5	2-4-9	1010	3	2=>4=>9	2200	7.0	1,2,8,6,4,3,7,(9,5)	1,2,8,6,4,3,7,(9,5)	2,1,(4,8),6,(3,9),(7,5)	2,1,4,(6,9),8,3,7,5		
200854102511	ダ	右	1300	晴	重	16:35	ファイナルレース		2008-10-25	11	高知	5	(馬齢)		2	510	3	2-3	1470	6	2-3	420	6	2-5	220	3	3-5	220	2	2=>3	4170	14	2-3-5	570	1	2=>3=>5	3840	13.0	3,8,9,2,5,(4,6),7,1	3,8,(2,9),5,4,(6,7),1	3,8,(2,9),5,7,4,(1,6)	2,3,8,(1,5),9,(4,7),6		
200854103101	ダ	右	1300	曇	良	11:15	E7		2008-10-31	12	高知	1	(馬齢)		3	140	1	3-6	550	2	3-6	130	3	3-4	110	1	4-6	120	2	3=>6	720	3	3-4-6	130	1	3=>6=>4	740	2.0	431652	4-3,(1,6),5,2	4,3-6,(1,5)=2	3,4,6,5,1=2		
200854103102	ダ	右	1300	曇	良	11:45	E6		2008-10-31	12	高知	1	(馬齢)		3	170	1	3-6	260	2	3-6	120	1	3-5	240	5	5-6	240	4	3=>6	330	2	3-5-6	810	3	3=>6=>5	1420	5.0	356421	3,5,(4,6),2,1	3,6,(4,5)-1,2	3,6,4,5-1,2		
200854103103	ダ	右	1300	曇	良	12:15	E5		2008-10-31	12	高知	1	(馬齢)		6	150	1	2-6	210	2	2-6	110	1	1-6	120	3	1-2	110	2	6=>2	370	2	1-2-6	130	1	6=>2=>1	270	1.0	1,2,6,4-5	1,2,6,4-5	1,2,6=4,5	6,2,1=5,4		
200854103104	ダ	右	1300	曇	良	12:45	E4		2008-10-31	12	高知	1	(馬齢)		4	200	1	4-6	350	2	4-6	200	3	4-5	670	7	5-6	1,020	8	4=>6	650	3	4-5-6	4710	8	4=>6=>5	8270	27.0	6,3-4,5,2,7,1	6345271	(6,3),4,(7,5),2-1	4,(6,3),(7,5),2=1		
200854103105	ダ	右	1400	曇	良	13:15	E3		2008-10-31	12	高知	1	(馬齢)		2	110	1	1-2	430	2	1-2	120	3	2-6	100	2	1-6	100	1	2=>1	650	2	1-2-6	170	1	2=>1=>6	770	3.0	6,2,5,3,4,1-7	6,2,5,3,1,4-7	6,2,1,5,3,4-7	2,(6,1),4,5,3,7		
200854103106	ダ	右	1300	曇	良	13:45	E2		2008-10-31	12	高知	1	(馬齢)		5	110	1	1-5	410	3	1-5	130	1	5-7	150	3	1-7	190	4	5=>1	280	1	1-5-7	390	1	5=>1=>7	930	2.0	1,6,(2,7),4,5-3	1,2,6,7,4,5=3	1,(2,7),(6,5),4=3	5172463		
